Index,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,HSV_Green_2012,RGB_Green_2012,HSV_Green_2013,RGB_Green_2013,HSV_Green_2014,RGB_Green_2014,HSV_Green_2015,RGB_Green_2015,HSV_Green_2016,RGB_Green_2016,HSV_Green_2017,RGB_Green_2017,HSV_Green_2018,RGB_Green_2018,HSV_Green_2019,RGB_Green_2019,HSV_Green_2020,RGB_Green_2020
0,SantaRosa,664000,686241,False,38.47143374,-122.7320261,-1,-1,-1,2,1164,-1,1,0.990344425,1960,Post1940,RES1,1,True,1275,Custom,220476.1875,,,,,./images/Index:0_Lat:38.47143374_Long:-122.7320261_Date:2011-07.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SantaRosa,44810,32011,False,38.47280392,-122.748495,-1,-1,275,836,323,-1,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322,,,,,,,./images/Index:4_Lat:38.47143374_Long:-122.7320261_Date:2013-07.jpg,,,,,,,,,,,,,,0.941162109375022,0.0063998885452747,,,,,,,,,,,,,,
5,SantaRosa,255580,383370,False,38.47695545,-122.7523575,356,581,62,923,225,294,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322,,,,,,,,./images/Index:5_Lat:38.47143374_Long:-122.7320261_Date:2014-06.jpg,,,,,,,,,,,,,,,3.40161132812545,0.0055062398314476,,,,,,,,,,,,
6,SantaRosa,351000,526000,True,38.47695569,-122.7525919,696,1049,76,907,353,620,1,0.990344425,1950,Post1940,RES1,1,True,1275,Average,159196.5,,,,,./images/Index:6_Lat:38.47695545_Long:-122.7523575_Date:2011-06.jpg,,,,./images/Index:6_Lat:38.47143374_Long:-122.7320261_Date:2015-07.jpg,,,,,,,,,,,,,,,,3.35375976562549,0.0049668624997139,,,,,,,,,,
7,SantaRosa,136472,382146,False,38.47695688,-122.7528192,587,828,102,890,241,485,1,0.990344425,1940,Post1940,RES1,2,False,1700,Average,208675,,,,,,,./images/Index:7_Lat:38.47695545_Long:-122.7523575_Date:2013-07.jpg,,,,,,,,,,,,,,3.38354492187546,0.0332250557839856,,,,,,,,,,,,,,
8,SantaRosa,206113,401869,False,38.47695809,-122.7530465,257,841,31,871,584,226,1,0.990344425,1960,Post1940,RES1,2,False,1700,Average,208675,,,,,,,,./images/Index:8_Lat:38.47695545_Long:-122.7523575_Date:2014-04.jpg,,./images/Index:8_Lat:38.47143374_Long:-122.7320261_Date:2016-06.jpg,,,,,,,,,,,,,2.87670898437557,0.0027518533170223,,,1.11181640624999,0.0006904676556587,,,,,,,,
9,SantaRosa,163031,321556,True,38.47695927,-122.7532738,406,888,96,850,482,310,1,0.990344425,1960,Post1940,RES1,1,False,1700,Custom,271167,,,,,,,,,./images/Index:9_Lat:38.47695545_Long:-122.7523575_Date:2015-05.jpg,,./images/Index:9_Lat:38.47143374_Long:-122.7320261_Date:2017-06.jpg,,,,,,,,,,,,,,3.00439453125064,0.0030046366155147,,,16.9804687499881,0.0031375214457511,,,,,,
10,SantaRosa,48691,128050,False,38.47696077,-122.753502,195,420,30,832,225,165,1,0.990344425,1940,Post1940,RES1,2,False,1700,Average,208675,,,,,,,,,,./images/Index:10_Lat:38.47695545_Long:-122.7523575_Date:2016-04.jpg,,./images/Index:10_Lat:38.47143374_Long:-122.7320261_Date:2018-11.jpg,,,,,,,,,,,,,,,1.66284179687495,0.0192136652767654,,,6.39648437499772,6.52670860290527E-06,,,,
11,SantaRosa,357510,536010,False,38.47693853,-122.7541623,420,959,100,776,539,320,1,0.990344425,1960,Post1940,RES1,2,False,1700,Average,208675,,,,,,,,,,,,,./images/Index:11_Lat:38.47695545_Long:-122.7523575_Date:2019-03.jpg,./images/Index:11_Lat:38.47143374_Long:-122.7320261_Date:2020-03.jpg,,,,,,,,,,,,,,,,,,,1.15380859374998,0.003576572984457,1.29028320312495,0.0015144944190979
12,SantaRosa,237029,510130,True,38.4769772,-122.7539218,441,716,35,803,275,406,1,0.990344425,1940,Post1940,RES1,1,False,1700,Average,198322,,,,,,,,,,,,,,,./images/Index:12_Lat:38.47695545_Long:-122.7523575_Date:2021-03.jpg,,,,,,,,,,,,,,,,,,,,,
