,Unnamed: 0,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,HSV_Green_2012,RGB_Green_2012,HSV_Green_2013,RGB_Green_2013,HSV_Green_2014,RGB_Green_2014,HSV_Green_2015,RGB_Green_2015,HSV_Green_2016,RGB_Green_2016,HSV_Green_2017,RGB_Green_2017,HSV_Green_2018,RGB_Green_2018,HSV_Green_2019,RGB_Green_2019,HSV_Green_2020,RGB_Green_2020
0,0,SantaRosa,664000.0,686241.0,False,38.47143374,-122.7320261,-1.0,-1.0,-1.0,2.0,1164.0,-1.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,True,1275.0,Custom,220476.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,SantaRosa,450323.0,1187978.0,True,38.42022905,-122.5848235,591.0,857.0,94.0,1.0,266.0,497.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,SantaRosa,348025.0,510385.0,True,38.48252401,-122.6806765,769.0,1092.0,41.0,9.0,323.0,728.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,SantaRosa,459330.0,442925.0,True,38.483145,-122.680435,-1.0,-1.0,877.0,5.0,568.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,SantaRosa,44810.0,32011.0,False,38.47280392,-122.748495,-1.0,-1.0,275.0,836.0,323.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,SantaRosa,255580.0,383370.0,False,38.47695545,-122.7523575,356.0,581.0,62.0,923.0,225.0,294.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,SantaRosa,351000.0,526000.0,True,38.47695569,-122.7525919,696.0,1049.0,76.0,907.0,353.0,620.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,True,1275.0,Average,159196.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,SantaRosa,136472.0,382146.0,False,38.47695688,-122.7528192,587.0,828.0,102.0,890.0,241.0,485.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,SantaRosa,206113.0,401869.0,False,38.47695809,-122.7530465,257.0,841.0,31.0,871.0,584.0,226.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,SantaRosa,163031.0,321556.0,True,38.47695927,-122.7532738,406.0,888.0,96.0,850.0,482.0,310.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,SantaRosa,48691.0,128050.0,False,38.47696077,-122.753502,195.0,420.0,30.0,832.0,225.0,165.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,SantaRosa,357510.0,536010.0,False,38.47693853,-122.7541623,420.0,959.0,100.0,776.0,539.0,320.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,SantaRosa,237029.0,510130.0,True,38.4769772,-122.7539218,441.0,716.0,35.0,803.0,275.0,406.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,SantaRosa,108616.0,282278.0,False,38.47696156,-122.7537126,322.0,500.0,101.0,819.0,178.0,221.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,SantaRosa,43804.0,156185.0,False,38.47066691,-122.74835,258.0,359.0,32.0,569.0,101.0,226.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,SantaRosa,257641.0,462724.0,False,38.47066718,-122.7485649,433.0,611.0,125.0,569.0,178.0,308.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,SantaRosa,210235.0,137064.0,False,38.47066867,-122.7489896,1024.0,1409.0,85.0,569.0,385.0,939.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,SantaRosa,68425.0,149733.0,True,38.47065831,-122.7494365,378.0,528.0,60.0,565.0,150.0,318.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,SantaRosa,332000.0,498000.0,False,38.47078953,-122.7496386,400.0,647.0,130.0,591.0,247.0,270.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,SantaRosa,110789.0,188748.0,True,38.47096328,-122.7497618,424.0,559.0,109.0,605.0,135.0,315.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,SantaRosa,106519.0,324701.0,False,38.4710976,-122.7498849,314.0,435.0,35.0,632.0,121.0,279.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,True,1275.0,Average,163215.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,SantaRosa,287640.0,431460.0,False,38.47123362,-122.7500032,314.0,435.0,35.0,647.0,121.0,279.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,SantaRosa,153124.0,275601.0,True,38.47136963,-122.7501215,781.0,1056.0,88.0,669.0,275.0,693.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,SantaRosa,67550.0,212335.0,True,38.47200957,-122.7499575,329.0,714.0,44.0,749.0,385.0,285.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,SantaRosa,204000.0,423300.0,False,38.47190564,-122.749684,393.0,778.0,92.0,725.0,385.0,301.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,SantaRosa,109731.0,164293.0,True,38.47208284,-122.7495037,403.0,734.0,89.0,751.0,331.0,314.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,SantaRosa,153193.0,263841.0,False,38.47231924,-122.7494145,443.0,759.0,182.0,775.0,316.0,261.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,SantaRosa,168187.0,129851.0,False,38.4723017,-122.7496576,223.0,862.0,35.0,773.0,639.0,188.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,SantaRosa,247335.0,373065.0,True,38.47225927,-122.7498732,553.0,822.0,147.0,771.0,269.0,406.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,SantaRosa,167495.0,243504.0,False,38.47195878,-122.7505277,353.0,633.0,63.0,734.0,280.0,290.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,SantaRosa,72400.0,104579.0,False,38.47232079,-122.7489822,-1.0,-1.0,165.0,775.0,401.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,SantaRosa,194467.0,122048.0,True,38.47210854,-122.7489786,236.0,890.0,48.0,753.0,654.0,188.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,SantaRosa,72400.0,129521.0,True,38.47166528,-122.7490694,723.0,962.0,35.0,712.0,239.0,688.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,SantaRosa,210235.0,448296.0,True,38.47160529,-122.7493307,436.0,702.0,105.0,707.0,266.0,331.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,SantaRosa,73579.0,207886.0,True,38.4715114,-122.7495856,485.0,652.0,487.0,702.0,167.0,-1.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,SantaRosa,156188.0,291087.0,True,38.4713334,-122.749375,385.0,602.0,118.0,659.0,217.0,267.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,SantaRosa,68380.0,94925.0,True,38.47132721,-122.7486143,-1.0,-1.0,71.0,655.0,189.0,-1.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,SantaRosa,72722.0,223950.0,False,38.47111063,-122.7486232,218.0,414.0,37.0,636.0,196.0,181.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,True,1275.0,Average,163215.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
